DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,13.6460,13.7500,13.2500,13.3127,353100,0
20010103,13.3544,13.9794,13.2500,13.8750,488100,0
20010104,13.8334,14.0210,13.6667,13.6667,421800,0
20010105,13.6980,13.8334,13.3127,13.5627,256500,0
20010108,13.4794,13.5834,13.1667,13.5627,327000,0
20010109,13.5627,14.3544,13.5627,14.0627,545400,0
20010110,14.0834,14.1250,13.6667,13.8750,187200,0
20010111,13.8334,14.3334,13.8334,14.1877,234300,0
20010112,14.1044,14.8334,14.1044,14.4740,328500,0
20010115,14.4740,14.4740,14.4740,14.4740,0,0
20010116,14.5417,14.9167,14.5417,14.8750,654900,0
20010117,14.8750,15.2710,14.5000,14.5000,351900,0
20010118,14.5417,14.8334,14.3127,14.6460,210900,0
20010119,14.8750,14.9167,14.4167,14.7710,357000,0
20010122,14.8750,14.9167,14.5210,14.5417,215400,0
20010123,14.5937,14.5937,13.9584,14.1667,232500,0
20010124,14.3544,14.4584,13.7710,14.0417,412500,0
20010125,14.0417,14.0627,13.3750,13.7710,747000,0
20010126,13.7500,13.8334,13.5834,13.8334,189300,0
20010129,13.7294,14.3960,13.6667,14.2500,461100,0
20010130,14.2294,14.2294,13.8334,13.9584,185100,0
20010131,13.8960,14.2500,13.8750,14.1044,687300,0
20010201,14.0417,14.1667,13.7710,14.0834,134400,0
20010202,14.0000,14.1667,13.6044,13.7294,231000,0
20010205,13.8127,14.5627,13.8127,14.3544,315300,0
20010206,14.3334,14.7084,14.2917,14.3960,225000,0
20010207,14.2917,14.7084,14.2917,14.5417,181500,0
20010208,14.6460,14.8750,14.6460,14.6460,237900,0
20010209,14.6564,14.6667,14.4167,14.4584,231000,0
20010212,14.4687,14.6250,14.3750,14.5000,337800,0
20010213,14.5834,14.7917,14.4584,14.4584,112800,0
20010214,14.6667,14.6667,13.9377,14.1044,245400,0
20010215,14.1044,14.3334,14.0627,14.0834,121500,0
20010216,13.9584,14.1250,13.8544,14.0210,162000,0
20010219,14.0210,14.0210,14.0210,14.0210,0,0
20010220,14.0210,14.4584,14.0210,14.1667,144600,0
20010221,14.1250,14.2294,13.8750,14.0627,116100,0
20010222,14.0627,14.0834,13.5000,13.7710,214800,0
20010223,13.7397,13.9584,13.3960,13.8544,279600,0
20010226,13.9794,14.5834,13.9584,14.4377,527400,0
20010227,14.5000,14.6667,14.4167,14.4584,197700,0
20010228,14.5000,14.5834,14.0834,14.1877,898500,0
20010301,14.1667,14.4167,14.1667,14.1980,3120900,0
20010302,14.1877,14.5000,14.0627,14.2710,408300,0
20010305,14.2917,14.8750,14.2917,14.8127,526500,0
20010306,14.9794,15.1250,14.8334,15.0627,710400,0
20010307,15.1667,15.2294,15.0000,15.0834,237000,0
20010308,15.0417,15.0834,14.7500,14.9377,239400,0
20010309,14.8960,14.9377,14.6667,14.8750,211200,0
20010312,14.7084,14.9584,14.1250,14.2084,310500,0
20010313,14.2500,14.2710,13.6667,13.9794,213300,0
20010314,13.7084,13.8544,13.5417,13.6044,274500,0
20010315,13.7917,14.1250,13.7500,13.9377,242700,0
20010316,13.8334,14.1877,13.7917,14.0210,352500,0
20010319,14.1877,14.4167,14.0834,14.2710,141600,0
20010320,14.2917,14.3960,13.7710,13.8960,190200,0
20010321,13.8127,13.9584,13.6460,13.7084,147000,0
20010322,13.8544,13.8544,12.8960,13.2500,536700,0
20010323,13.3230,13.3544,12.5627,12.6877,283500,0
20010326,12.8960,13.3127,12.7917,13.3127,319800,0
20010327,13.2604,13.8544,13.2084,13.6877,417300,0
20010328,13.5314,13.8334,13.4584,13.6667,273600,0
20010329,13.5417,13.7294,13.4584,13.7294,117600,0
20010330,13.7500,13.9167,13.6044,13.7294,119400,0
20010402,13.7500,14.0627,13.4167,13.5834,242400,0
20010403,13.5627,13.5627,12.7917,13.0627,332100,0
20010404,12.9687,13.1044,12.6667,12.9584,246600,0
20010405,13.0417,13.3544,12.9584,13.3544,333300,0
20010406,13.2084,13.5417,13.0834,13.3960,375600,0
20010409,13.4800,13.4834,13.1334,13.1800,69900,0
20010410,13.2000,13.4000,13.1667,13.1667,572100,0
20010411,13.1834,13.4334,13.0000,13.4034,475500,0
20010412,13.2000,13.6334,13.2000,13.5500,170100,0
20010416,13.5000,13.7667,13.4834,13.5800,159300,0
20010417,13.5200,14.0000,13.5000,13.9134,195000,0
20010418,13.9934,14.2634,13.9167,14.0134,941400,0
20010419,13.9667,14.2300,13.6667,14.2300,242100,0
20010420,14.0334,14.2000,13.9834,14.0834,154500,0
20010423,14.1834,14.2334,13.8667,13.9000,638100,0
20010424,14.0000,14.1167,13.8334,13.8334,197100,0
20010425,13.8167,14.0367,13.8167,13.9467,97500,0
20010426,14.0667,14.4834,13.9367,14.4114,338400,0
20010427,14.5000,14.5000,14.2534,14.3500,153600,0
20010430,14.3334,14.5834,14.2917,14.3834,123900,0
20010501,14.3334,14.6067,14.3167,14.5987,276000,0
20010502,14.5667,14.7500,14.5667,14.6834,246600,0
20010503,14.6500,14.6834,14.3334,14.5467,201600,0
20010504,14.2967,14.8667,14.2000,14.8000,627000,0
20010507,14.6834,14.9167,14.6667,14.9167,594300,0
20010508,14.9834,15.0167,14.4334,14.5500,373800,0
20010509,14.5500,14.5500,14.2500,14.3020,212100,0
20010510,14.3367,14.4334,13.9167,13.9200,192600,0
20010511,13.8867,14.0134,13.6867,13.8767,1242300,0
20010514,13.7834,14.2000,13.7500,14.1234,202800,0
20010515,14.1167,14.5167,14.1167,14.1867,168900,0
20010516,14.3134,14.3967,13.9167,14.3834,168300,0
20010517,14.2334,14.5334,14.2200,14.3734,305100,0
20010518,14.4000,14.6900,14.3467,14.6034,239100,0
20010521,14.6467,14.8000,14.3167,14.4334,196200,0
20010522,14.4834,14.4967,14.0167,14.1200,248100,0
20010523,14.1167,14.1167,13.6834,13.8100,172800,0
20010524,13.7667,13.8334,13.5167,13.6500,193500,0
20010525,13.6134,13.8500,13.5367,13.5734,163800,0
20010528,13.5734,13.5734,13.5734,13.5734,0,0
20010529,13.5667,13.7267,13.4500,13.6700,161700,0
20010530,13.5000,13.8834,13.5000,13.7600,121200,0
20010531,13.8500,13.8500,13.4500,13.4867,125100,0
20010601,13.6167,13.6167,13.2667,13.3567,153900,0
20010604,13.4167,13.4800,13.3400,13.4634,102900,0
20010605,13.5167,13.8334,13.5134,13.7667,410400,0
20010606,13.8334,13.8334,13.3500,13.3534,277500,0
20010607,13.3917,13.4900,13.2400,13.3067,257700,0
20010608,13.3100,13.4900,13.1667,13.3334,118200,0
20010611,13.3600,13.5000,13.3167,13.4234,122700,0
20010612,13.3967,13.4967,13.2500,13.4000,178500,0
20010613,13.3500,13.7800,13.3367,13.4567,215100,0
20010614,13.4234,13.6167,13.3500,13.4267,117000,0
20010615,13.3834,13.7467,13.2167,13.6000,202200,0
20010618,13.5534,13.7434,13.3034,13.3034,135900,0
20010619,13.4100,13.6967,13.3334,13.4667,223500,0
20010620,13.5134,13.9334,13.5134,13.7667,1087500,0
20010621,13.8534,14.0834,13.5000,14.0834,333600,0
20010622,14.0000,14.1234,13.8100,13.9334,276300,0
20010625,13.8934,14.0667,13.8000,13.8634,263700,0
20010626,13.8267,14.0234,13.4667,13.9200,303900,0
20010627,13.8834,14.0134,13.8067,13.9867,99300,0
20010628,14.0700,14.4667,13.9767,14.0234,232200,0
20010629,14.1700,14.3334,13.8800,14.3167,236100,0
20010702,14.2667,14.3300,14.1267,14.1267,141900,0
20010703,14.1234,14.3167,14.1234,14.2334,98700,0
20010704,14.2334,14.2334,14.2334,14.2334,0,0
20010705,14.1334,14.1667,14.0000,14.0000,95700,0
20010706,14.0300,14.0300,13.8200,13.9500,162300,0
20010709,12.9200,13.0200,12.3500,12.9834,1755000,0
20010710,13.0034,13.0167,12.6334,12.8166,1246800,0
20010711,12.8084,12.9700,12.6367,12.6667,271800,0
20010712,12.7366,12.7366,12.3067,12.4300,542700,0
20010713,12.5000,12.6300,12.3000,12.3967,550800,0
20010716,12.5000,12.8166,12.3867,12.6100,464400,0
20010717,12.5834,12.8134,12.3000,12.3300,175800,0
20010718,12.3334,12.3667,12.2067,12.3067,206700,0
20010719,12.4334,12.6334,11.9167,12.1000,212400,0
20010720,12.0200,12.2467,12.0167,12.1834,110400,0
20010723,12.2366,12.2667,11.7734,11.8334,234600,0
20010724,11.9500,11.9534,11.5000,11.5534,771300,0
20010725,11.7400,11.9834,11.5000,11.8567,260700,0
20010726,11.8934,12.3334,11.8367,12.1000,159000,0
20010727,12.1034,12.2467,11.8567,12.2300,192000,0
20010730,12.1834,12.5000,12.1834,12.2600,385500,0
20010731,12.3467,12.6134,12.2800,12.4334,487800,0
20010801,12.4334,12.6034,12.2667,12.5167,400800,0
20010802,12.6700,13.0000,12.5434,12.6134,397200,0
20010803,12.6000,12.6667,12.4934,12.4934,76800,0
20010806,12.5967,12.8000,12.5967,12.6334,479700,0
20010807,12.6600,12.7434,12.5767,12.6500,111300,0
20010808,12.6634,12.7334,12.4900,12.5567,92400,0
20010809,12.5134,12.7167,12.4534,12.5367,63900,0
20010810,12.5167,12.6500,12.1634,12.5500,93000,0
20010813,12.4717,12.6667,12.3300,12.5834,117600,0
20010814,12.4567,12.7300,12.3967,12.4034,212400,0
20010815,12.3867,12.5967,12.3267,12.3800,105600,0
20010816,12.3200,12.3200,12.1067,12.2067,75600,0
20010817,12.1600,12.3067,12.0666,12.1500,96300,0
20010820,12.3400,12.4634,12.3367,12.3500,217200,0
20010821,12.3500,12.6733,12.3433,12.3700,248100,0
20010822,12.4600,12.5800,12.2834,12.4634,159300,0
20010823,12.4634,12.6634,12.2767,12.3125,159000,0
20010824,12.2867,12.6600,12.2867,12.6600,209100,0
20010827,12.5933,12.6934,12.5367,12.5666,112500,0
20010828,12.6500,12.6500,12.1667,12.1667,98400,0
20010829,12.2234,12.3834,12.0200,12.3134,145200,0
20010830,12.3234,12.4367,11.9967,12.0666,171300,0
20010831,12.0467,12.2434,12.0467,12.1634,267600,0
20010903,12.1634,12.1634,12.1634,12.1634,0,0
20010904,12.1700,12.6000,12.0834,12.2300,138000,0
20010905,12.2500,12.3900,12.1234,12.2534,129900,0
20010906,12.2334,12.3334,11.9034,11.9667,545100,0
20010907,11.9167,12.1167,11.6300,11.7500,442200,0
20010910,11.6434,11.8166,11.4334,11.5600,299700,0
20010911,11.5600,11.5600,11.5600,11.5600,0,0
20010917,11.5567,11.7434,11.1334,11.4067,768300,0
20010918,11.3834,11.6400,11.3300,11.5200,298800,0
20010919,11.5000,11.5834,11.1034,11.3000,247500,0
20010920,11.0834,11.3000,11.0400,11.2434,490800,0
20010921,10.9167,10.9900,10.6167,10.9300,3131700,0
20010924,10.8166,11.2034,10.8166,10.9866,311700,0
20010925,10.9734,11.6334,10.9434,11.6334,409200,0
20010926,11.6467,11.8500,11.4000,11.4000,263100,0
20010927,11.4134,11.6834,11.4134,11.6834,468900,0
20010928,11.6967,11.9233,11.5167,11.8500,648600,0
20011001,11.7667,11.9300,11.6034,11.7167,171900,0
20011002,11.9467,12.1134,11.7534,11.9934,273300,0
20011003,11.9167,12.5334,11.9167,12.3967,157200,0
20011004,12.5434,12.7334,12.4167,12.5000,248700,0
20011005,12.4000,12.5834,12.3334,12.5000,88800,0
20011008,12.5267,12.5666,12.2234,12.2667,107700,0
20011009,12.3616,12.4000,12.2334,12.2834,75300,0
20011010,12.2800,12.4000,11.9834,12.1234,321300,0
20011011,12.1617,12.3200,11.9334,12.1500,250200,0
20011012,12.1167,12.1667,11.7334,12.1167,335700,0
20011015,12.1284,12.1334,11.8834,12.1167,117600,0
