DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20190312,38.0000,38.0000,38.0000,38.0000,10000,0
20190313,39.0000,39.9000,38.7000,39.7500,20477364,0
20190314,39.7500,41.4000,39.7500,40.6500,6248563,0
20190315,41.3800,41.8700,41.2400,41.7000,7107258,0
20190318,41.9500,41.9500,41.0500,41.7000,4020942,0
20190319,41.5500,41.7000,39.8400,40.3400,10118472,0
20190320,40.4900,40.8100,38.2400,38.6200,15683238,0
20190321,39.0000,40.0700,38.7500,40.0200,12751732,0
20190322,39.9300,39.9900,37.6900,38.7200,10897994,0
20190325,38.8900,38.9600,37.3900,37.4400,9338926,0
20190326,37.6500,38.2800,37.5100,37.5400,6287100,0
20190327,37.5200,37.9100,36.7600,36.9200,5578118,0
20190328,36.8500,37.1500,36.3400,36.4000,5326238,0
20190329,36.5500,36.9100,36.1500,36.7100,5895347,0
20190401,36.9100,37.1500,36.7100,36.8500,5311201,0
20190402,36.9600,37.1800,35.9000,36.2800,6704831,0
20190403,36.3700,36.5600,35.9000,36.0800,8393708,0
20190404,36.2000,36.8000,36.0100,36.7600,4908406,0
20190405,36.7900,37.8500,36.6900,37.6800,7344894,0
20190408,37.6000,37.6800,37.2650,37.4700,3393260,0
20190409,37.4200,37.6500,37.1700,37.3100,5725894,0
20190410,37.3300,37.5300,36.3600,36.4800,4828362,0
20190411,36.5700,37.1600,35.9900,37.0900,4791432,0
20190412,37.1500,37.6200,36.4700,37.5300,6368477,0
20190415,37.4600,37.5700,36.9900,37.5300,3927062,0
20190416,37.6700,37.8500,37.4700,37.7500,5721982,0
20190417,37.8700,38.8500,37.7600,38.8400,7603795,0
20190418,38.9100,39.0000,38.4300,38.4400,4737418,0
20190422,38.3600,38.4400,37.6200,37.7000,7675316,0
20190423,37.7900,38.3900,37.6300,38.0800,6328827,0
20190424,37.9500,38.3100,37.8050,37.9600,5323550,0
20190425,37.9800,38.2000,37.5400,38.1500,5309675,0
20190426,38.0800,38.5300,37.9000,38.4800,5297417,0
20190429,38.5400,39.5250,38.3100,39.2000,6885177,0
20190430,39.1900,39.3300,38.4700,38.9900,5044352,0
20190501,39.1200,39.4900,38.6600,39.4000,5149829,0
20190502,39.2300,39.4700,37.0800,37.2800,11495855,0
20190503,37.4100,37.7500,37.1200,37.4700,4809763,0
20190506,37.1700,37.9900,36.9600,37.9200,4801609,0
20190507,37.5800,37.8100,37.1200,37.2600,6053297,0
20190508,37.3400,37.7000,36.8550,37.4200,8635285,0
20190509,38.5000,39.2500,37.5100,38.5000,15210152,0
20190510,38.6400,38.7500,37.4400,38.5300,6742528,0
20190513,37.7700,38.6800,37.7300,37.9700,5604035,0
20190514,38.0500,38.5200,37.8723,37.8900,6198619,0
20190515,37.7000,37.9700,37.5700,37.7100,2975433,0
20190516,37.9100,38.0800,36.7000,36.7400,8705008,0
20190517,36.5600,37.5900,36.5500,37.3200,5507954,0
20190520,37.1800,37.6400,37.0000,37.1400,3670004,0
20190521,37.2600,38.0000,37.1000,37.6900,4668608,0
20190522,37.6600,37.7600,37.0550,37.1200,3431178,0
20190523,36.8200,37.0800,36.6300,36.9100,4431862,0
20190524,37.0500,37.2050,36.8500,36.9200,2878988,0
20190528,36.9700,37.3400,36.5050,36.6400,4380381,0
20190529,36.5000,36.6500,35.7900,35.7900,3691294,0
20190530,35.8800,36.1550,35.1500,35.2200,4730387,0
20190531,34.9700,35.2700,34.7000,35.2300,6706125,0
20190603,35.0500,35.3000,33.7800,34.2400,7665044,0
20190604,34.5200,35.2500,34.1500,34.4800,8058934,0
20190605,34.6200,34.9800,34.2800,34.3600,6240649,0
20190606,34.6600,34.6600,33.9800,34.1200,5288296,0
20190607,34.1800,34.4400,34.0000,34.0100,4226794,0
20190610,34.0500,34.4000,33.9000,34.0300,5620499,0
20190611,34.2300,34.4100,34.0100,34.1800,3166916,0
20190612,34.2000,35.1000,34.1600,35.0500,4426934,0
20190613,35.1700,35.5000,34.9630,35.2900,4384777,0
20190614,35.2400,35.5000,34.9300,35.2400,4362353,0
20190617,35.4200,36.3250,35.3400,36.1300,7195391,0
20190618,36.4500,37.0500,36.0800,36.1900,4938850,0
20190619,36.2600,36.4200,35.6775,35.9900,4790143,0
20190620,36.3800,36.4750,35.5600,35.5800,5916524,0
20190621,35.6100,37.2950,35.3100,36.1800,11402191,0
20190624,36.0100,36.0700,35.6050,35.8000,5280111,0
20190625,35.7800,35.8600,35.1400,35.3400,7204375,0
20190626,35.7900,36.1000,35.3300,35.4700,4297292,0
20190627,35.5300,36.3300,35.2000,35.9900,5083896,0
20190628,35.9800,36.7600,35.8100,36.6400,10930138,0
20190701,36.4600,36.9900,35.7400,35.9200,6407228,0
20190702,36.0100,36.6200,35.9200,36.5900,3599546,0
20190703,36.6000,36.8200,36.2700,36.3500,3160332,0
20190705,36.2400,36.8000,36.0750,36.6000,1981977,0
20190708,36.5300,36.6750,36.0800,36.1300,1644620,0
20190709,36.0300,36.2700,35.8200,36.0200,2379561,0
20190710,36.1900,36.4300,36.0750,36.1400,2400697,0
20190711,36.1700,36.3500,35.8500,36.2900,2986996,0
20190712,36.4600,37.0400,36.1000,36.9600,2755739,0
20190715,37.0300,37.1600,36.6400,37.0100,2861593,0
20190716,36.9300,37.1100,36.6300,36.6900,2721520,0
20190717,36.7300,36.7600,36.1100,36.1700,5740483,0
20190718,36.1700,36.7200,35.9600,36.5500,5313845,0
20190719,36.7000,36.7400,36.1400,36.4300,4402023,0
20190722,36.5100,36.6100,36.0600,36.1000,7865704,0
20190723,36.1900,36.3900,35.8400,36.2200,5573558,0
20190724,36.1300,36.8600,36.1300,36.6000,5980591,0
20190725,36.6300,37.3400,36.6300,37.1700,3251722,0
20190726,37.2900,37.8000,37.0800,37.2100,2669100,0
20190729,37.1600,37.5700,37.0700,37.5100,2130637,0
20190730,37.3500,37.9800,37.3200,37.8200,2971835,0
20190731,37.6700,37.6918,36.8100,37.3200,5280629,0
20190801,37.2500,37.4900,36.7250,36.8900,3280662,0
20190802,36.7300,36.9600,36.3300,36.6300,2419011,0
20190805,36.4700,36.5600,35.7700,36.0500,4517227,0
20190806,36.1600,36.6000,35.9300,36.4500,3366690,0
20190807,35.8900,37.1500,35.8000,37.0400,4657381,0
20190808,37.2200,37.2500,35.0000,35.1300,9539872,0
20190809,35.1100,35.6500,34.9800,35.4000,4234434,0
20190812,35.0400,35.3200,34.7000,34.9500,4172864,0
20190813,34.8400,35.5900,34.8000,35.0600,2940835,0
20190814,34.7000,34.7500,33.3800,33.6900,7489849,0
20190815,33.8800,34.0900,32.7250,32.7500,7043951,0
20190816,33.0000,33.3000,32.6700,32.9900,3256831,0
20190819,33.3200,34.0250,33.2900,33.8700,3915125,0
20190820,33.8300,34.0500,33.5200,33.5900,2810834,0
20190821,33.6400,33.7250,33.0100,33.4100,3050409,0
20190822,33.3800,33.5400,32.9500,33.0500,3725374,0
20190823,32.9300,33.0850,31.6300,31.7500,3868329,0
20190826,31.8400,32.1400,31.5800,32.0800,3235649,0
20190827,32.2200,32.3800,31.9200,31.9300,3449444,0
20190828,32.0500,32.2800,31.6200,31.7900,3567237,0
20190829,32.0000,33.1250,31.8800,32.7400,3687745,0
20190830,33.7200,33.7200,32.7900,33.1700,2926088,0
20190903,32.6600,33.1100,32.5400,32.7700,2092384,0
20190904,32.9900,33.6100,32.9000,33.5600,2282398,0
20190905,33.6400,34.4050,33.5600,34.2500,3946927,0
20190906,34.3200,34.7400,34.0600,34.2300,2514623,0
20190909,33.3900,34.3400,33.3900,34.3000,2659833,0
20190910,33.8500,34.7200,33.8500,34.3000,3198116,0
20190911,34.2800,34.4300,33.8000,34.0000,3287051,0
20190912,34.1900,34.1900,33.6700,33.7900,4290524,0
20190913,33.9600,34.2100,33.5100,33.8300,4606058,0
20190916,33.6800,33.8300,33.4700,33.6000,2175629,0
20190917,33.5900,33.5900,32.7900,32.8600,6702742,0
20190918,32.8800,32.9600,32.1300,32.6400,5597093,0
20190919,32.4800,32.7800,31.9600,32.0400,4925050,0
20190920,31.9900,32.4250,31.7200,32.2700,8191229,0
20190923,32.3700,32.4900,31.9950,32.2700,3488279,0
20190924,32.2800,32.4450,31.4750,31.5900,5844940,0
20190925,31.6100,32.1800,31.5600,32.0100,4390022,0
20190926,32.1800,32.1900,31.3900,31.4500,5965705,0
20190927,31.6500,31.7200,31.1500,31.4400,4267095,0
20190930,31.6300,31.8700,31.3500,31.5350,3168442,0
20191001,31.7300,32.0700,31.2000,31.2400,2703381,0
20191002,31.1700,31.2900,30.3650,30.4200,4879846,0
20191003,30.3400,30.5500,29.7050,30.4600,7187910,0
20191004,30.6000,30.8100,30.3700,30.5700,2858374,0
20191007,30.7500,31.1400,30.5800,30.6000,4868461,0
20191008,30.2700,30.2800,29.6950,30.0550,3832717,0
20191009,30.3600,30.4500,29.9600,30.2300,3538928,0
20191010,30.2400,30.5500,30.0500,30.5200,3497847,0
20191011,30.9900,31.7550,30.7600,31.4600,4444553,0
20191014,31.2700,31.4300,31.0400,31.3900,2998509,0
20191015,31.3300,31.8050,31.1500,31.7000,3758858,0
20191016,31.6100,32.0100,31.5450,31.9900,4385645,0
20191017,32.1000,32.1400,31.5400,31.9800,9074193,0
20191018,32.0400,32.5700,31.9600,32.2100,8890480,0
20191021,32.3600,32.8100,32.2000,32.7400,5163326,0
20191022,32.7300,33.5650,32.5500,33.4500,5526827,0
20191023,33.3300,33.6700,33.1500,33.2400,7091867,0
20191024,33.1800,33.3900,31.7900,32.3000,9058087,0
20191025,32.3900,32.7750,32.3200,32.4100,5450286,0
20191028,32.5400,33.4100,32.4100,32.9900,8672677,0
20191029,32.8200,33.0400,32.5500,32.8400,3558558,0
20191030,32.6600,32.8500,32.0000,32.0800,4364431,0
20191031,32.0000,32.0800,31.6700,32.0400,5063534,0
20191101,32.1700,32.5400,31.9600,32.3900,3813529,0
20191104,32.5000,32.6000,32.2900,32.5500,2611960,0
20191105,32.5800,33.0800,32.5250,32.8350,3198689,0
20191106,32.8400,33.1800,32.3000,33.1000,5681566,0
20191107,33.9500,34.9700,33.3700,34.9400,9056842,0
20191108,35.0000,35.2300,34.5900,35.1400,4979803,0
20191111,34.9500,35.0700,34.5900,34.9900,3280165,0
20191112,35.0700,35.1050,34.4500,34.4850,3906077,0
20191113,34.3700,34.7200,34.1900,34.2600,4559697,0
20191114,34.1400,34.5100,33.9900,34.2200,4022379,0
20191115,34.3900,34.6800,33.9300,34.2700,4517722,0
20191118,34.3100,35.2500,34.2100,35.1900,5690353,0
20191119,35.2200,36.3250,35.2200,36.2600,6334172,0
20191120,35.6600,36.4100,35.6600,35.8900,4320510,0
20191121,35.9300,36.3500,35.5600,35.7000,2861622,0
