DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,44.93,44.98,40.97,42.04,356796,0
20010103,42.52,46.07,42.10,45.94,390563,0
20010104,45.46,46.85,45.29,46.18,263822,0
20010105,45.89,45.94,44.33,45.46,227582,0
20010108,45.41,45.41,42.89,43.78,231983,0
20010109,44.15,44.45,42.04,42.82,197821,0
20010110,42.41,43.37,41.50,42.95,245743,0
20010111,43.85,45.17,43.78,44.81,235456,0
20010112,44.98,45.11,43.24,43.91,165883,0
20010115,43.91,43.91,43.91,43.91,0,0
20010116,43.91,45.70,43.85,45.53,197158,0
20010117,46.13,46.61,44.63,44.87,243280,0
20010118,45.53,46.18,44.81,45.77,192697,0
20010119,45.94,46.25,44.81,45.17,190452,0
20010122,45.17,45.17,45.17,45.17,0,0
20010123,44.21,45.65,43.72,44.87,210885,0
20010124,44.69,45.35,44.02,44.50,190152,0
20010125,44.57,45.35,44.02,44.15,207670,0
20010126,44.63,44.98,38.68,42.89,266138,0
20010129,44.45,45.25,42.28,43.43,22902500,0
20010130,44.57,46.21,43.24,44.95,19835100,0
20010131,44.93,45.12,43.82,44.21,21696300,0
20010201,44.69,44.91,44.11,44.43,17344500,0
20010202,44.45,45.07,43.70,44.47,16036100,0
20010205,44.68,46.22,44.25,45.98,21801300,0
20010206,46.03,46.21,45.39,45.74,15893100,0
20010207,45.81,46.78,40.36,45.12,12992200,0
20010208,45.89,46.26,45.20,45.30,16459000,0
20010209,45.30,45.30,43.63,43.88,18439800,0
20010212,43.88,45.95,43.88,45.66,17936300,0
20010213,45.79,46.12,45.31,45.32,14301000,0
20010214,45.35,45.35,44.32,44.46,11485700,0
20010215,44.59,46.18,44.35,46.11,22219000,0
20010216,44.69,45.45,44.46,45.17,16815200,0
20010219,45.17,45.17,45.17,45.17,0,0
20010220,45.36,46.42,45.36,45.83,19967800,0
20010221,45.84,46.56,45.38,45.45,17785600,0
20010222,45.50,45.63,44.30,45.26,22850100,0
20010223,44.78,45.12,43.27,44.38,23229300,0
20010226,45.17,46.13,44.45,46.11,20895100,0
20010227,45.63,46.13,44.89,46.13,22483700,0
20010228,46.13,46.36,43.82,44.69,26520900,0
20010301,43.72,44.27,43.16,44.12,23936000,0
20010302,43.58,43.87,42.80,42.83,22045100,0
20010305,43.00,43.58,42.86,43.34,16625800,0
20010306,44.45,44.76,43.57,43.65,15490500,0
20010307,43.71,44.45,43.71,44.19,13868700,0
20010308,44.35,44.53,43.24,44.08,16515900,0
20010309,43.48,43.56,41.74,42.10,18694400,0
20010312,41.32,41.55,36.28,38.05,45437000,0
20010313,39.88,40.84,39.30,40.68,42812100,0
20010314,39.16,40.60,38.57,39.43,35114500,0
20010315,39.88,40.12,38.56,39.48,25025300,0
20010316,38.82,39.88,38.58,38.97,43891600,0
20010319,39.11,40.00,38.58,39.50,20749400,0
20010320,39.88,40.46,38.49,38.49,22212800,0
20010321,38.49,39.01,37.35,37.48,26759900,0
20010322,37.24,37.29,35.00,36.23,55228700,0
20010323,37.24,38.43,35.64,38.43,45719900,0
20010326,38.92,39.37,38.72,38.82,25885200,0
20010327,39.16,40.59,38.98,40.27,36404500,0
20010328,39.64,39.98,39.22,39.93,25601600,0
20010329,39.50,39.87,39.11,39.78,26898400,0
20010330,40.02,40.27,39.64,40.23,28554700,0
20010402,40.29,40.98,39.29,40.17,24130700,0
20010403,39.93,39.93,37.73,38.13,23399700,0
20010404,37.72,39.30,37.53,38.05,26767600,0
20010405,39.40,40.58,39.06,40.46,23742000,0
20010406,39.93,40.07,38.78,39.56,23769300,0
20010409,39.82,40.72,39.61,40.36,17654900,0
20010410,41.08,42.28,40.95,42.12,25861700,0
20010411,42.67,42.75,41.08,41.58,20102800,0
20010412,41.85,42.96,41.66,42.96,16927900,0
20010416,42.79,42.99,42.20,42.91,13900200,0
20010417,42.38,43.72,42.32,43.69,19882700,0
20010418,44.09,46.08,43.79,46.03,35424400,0
20010419,45.65,46.66,45.48,46.62,21893600,0
20010420,46.62,46.62,45.66,46.22,22523500,0
20010423,45.89,46.11,45.05,45.36,16114800,0
20010424,45.17,45.93,44.11,44.20,18101300,0
20010425,44.88,46.58,44.59,45.94,17721900,0
20010426,47.04,47.46,46.60,47.38,19970100,0
20010427,47.43,48.00,46.66,48.00,14900500,0
20010430,48.01,48.05,46.14,46.64,18177300,0
20010501,46.18,47.04,45.94,47.00,13049400,0
20010502,47.14,47.51,46.27,47.11,17537500,0
20010503,47.18,47.18,46.14,46.61,18170600,0
20010504,45.89,48.03,45.88,47.98,18190500,0
20010507,47.76,48.05,47.50,48.01,14688700,0
20010508,48.01,48.05,46.90,47.55,14964000,0
20010509,47.10,48.43,46.88,47.50,20339300,0
20010510,48.19,48.23,47.49,47.90,13348800,0
20010511,47.89,48.05,46.63,47.10,11808400,0
20010514,47.10,47.99,46.91,47.79,10750700,0
20010515,47.79,48.39,47.38,48.19,17286600,0
20010516,47.95,50.21,47.72,50.16,24044600,0
20010517,49.92,50.58,49.68,50.08,19392700,0
20010518,50.08,50.92,49.91,50.92,16740800,0
20010521,50.92,51.46,50.64,51.32,15834800,0
20010522,51.08,51.20,49.88,50.62,17159300,0
20010523,50.40,50.74,49.19,49.35,15683600,0
20010524,49.25,49.90,48.77,49.38,12538000,0
20010525,49.20,49.20,47.62,48.00,14951000,0
20010528,48.00,48.00,48.00,48.00,0,0
20010529,48.42,48.58,47.71,47.75,11530600,0
20010530,47.73,48.09,47.09,47.11,15038400,0
20010531,47.23,47.71,46.85,47.09,13091200,0
20010601,47.08,47.47,46.32,47.09,13336100,0
20010604,47.18,47.68,47.00,47.51,13377500,0
20010605,47.28,47.42,46.72,47.24,14789600,0
20010606,47.09,47.37,46.53,46.85,12690100,0
20010607,46.84,47.07,46.28,47.00,10668800,0
20010608,46.86,46.86,45.93,46.26,16069700,0
20010611,45.98,47.04,45.38,45.55,17328200,0
20010612,45.55,47.35,44.46,46.86,37347400,0
20010613,46.22,47.33,45.84,45.98,32063600,0
20010614,46.03,48.24,46.03,46.95,57528100,0
20010615,46.42,47.42,46.19,46.91,43553400,0
20010618,47.09,47.76,46.66,47.09,19312100,0
20010619,47.86,48.02,46.85,46.96,23440100,0
20010620,46.80,48.87,46.68,48.79,29497000,0
20010621,48.43,50.28,48.43,49.25,31646000,0
20010622,49.12,50.32,49.12,49.84,24312200,0
20010625,49.68,50.55,48.20,48.29,26768400,0
20010626,47.09,48.02,46.56,46.89,30570800,0
20010627,46.80,47.18,45.88,46.38,26159100,0
20010628,45.89,47.52,45.54,46.96,23188500,0
20010629,46.96,49.10,46.37,46.85,48532300,0
20010702,46.99,48.24,39.30,48.24,21574400,0
20010703,47.57,47.95,47.34,47.58,17570200,0
20010704,47.58,47.58,47.58,47.58,0,0
20010705,46.90,47.57,46.53,46.58,19166300,0
20010706,46.32,46.35,44.78,45.06,23307500,0
20010709,45.07,45.28,44.49,45.02,16110600,0
20010710,44.78,45.36,43.91,43.97,18986000,0
20010711,44.01,44.11,42.57,42.87,27081200,0
20010712,44.11,45.36,43.66,45.17,21404700,0
20010713,44.78,45.89,44.35,45.60,17194100,0
20010716,45.36,45.65,43.99,44.42,13747100,0
20010717,43.97,44.70,43.30,44.31,18244200,0
20010718,43.82,44.83,43.67,44.24,16842900,0
20010719,44.49,45.58,44.24,44.67,12841400,0
20010720,44.88,45.12,44.38,44.81,11983700,0
20010723,44.69,44.79,43.44,43.53,14624800,0
20010724,43.63,43.72,41.56,42.28,25215300,0
20010725,42.67,42.67,41.49,42.09,24360200,0
20010726,42.24,42.38,41.56,42.04,23512400,0
20010727,42.43,43.10,42.14,42.91,16453100,0
20010730,42.49,42.57,41.71,41.90,16659300,0
20010731,41.72,42.52,41.32,41.80,24009900,0
20010801,41.32,41.74,40.75,41.09,23292800,0
20010802,41.42,41.49,40.36,40.55,22997000,0
20010803,40.65,41.13,40.27,41.08,15229900,0
20010806,40.75,40.81,39.68,39.78,21207300,0
20010807,39.83,41.18,39.66,41.10,23105600,0
20010808,40.70,40.84,39.88,40.02,14763500,0
20010809,40.02,40.60,39.69,40.27,14811800,0
20010810,40.36,41.14,39.78,40.91,13284200,0
20010813,40.84,41.43,40.38,40.58,14172700,0
20010814,40.94,41.03,40.07,40.22,12544100,0
20010815,40.36,41.22,40.08,40.15,14926200,0
20010816,39.91,40.27,39.40,39.98,17071500,0
20010817,39.69,39.78,38.78,39.21,15220800,0
20010820,39.40,40.27,38.84,39.91,12660700,0
20010821,39.90,40.20,38.82,38.88,13917200,0
20010822,39.40,39.69,38.73,39.23,15501500,0
20010823,39.31,39.69,39.03,39.44,9895300,0
20010824,39.50,40.61,39.42,40.35,13346200,0
20010827,40.36,40.89,40.05,40.52,14273100,0
20010828,40.60,40.65,39.54,39.62,12611900,0
20010829,40.02,40.02,39.03,39.03,11836300,0
20010830,39.11,39.82,38.30,38.57,21951700,0
20010831,38.58,39.59,38.54,39.38,17114000,0
20010903,39.38,39.38,39.38,39.38,0,0
20010904,39.21,40.52,38.79,39.26,18474700,0
20010905,39.30,40.35,38.92,40.07,20124700,0
