DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,31.24,31.30,30.13,30.30,2331300,0
20010103,30.52,32.63,30.52,31.08,3327700,0
20010104,31.08,31.19,27.96,29.07,5051100,0
20010105,29.75,29.85,27.73,28.12,3128400,0
20010108,28.12,29.63,28.12,29.30,2237200,0
20010109,29.85,30.64,29.75,30.19,3361100,0
20010110,30.08,30.13,29.30,29.68,2635400,0
20010111,30.19,30.19,28.79,28.96,3529600,0
20010112,29.02,29.13,27.13,27.63,3451900,0
20010115,27.63,27.63,27.63,27.63,0,0
20010116,26.96,28.29,26.96,27.57,2674500,0
20010117,27.79,28.07,27.63,27.79,1539200,0
20010118,28.12,28.91,27.40,28.12,2140600,0
20010119,28.12,28.24,27.46,27.68,2227200,0
20010122,27.68,27.68,27.68,27.68,0,0
20010123,29.41,29.80,28.79,29.35,1430400,0
20010124,29.63,30.25,29.24,30.02,1207500,0
20010125,30.25,30.30,29.30,29.68,1200900,0
20010126,29.85,29.91,28.91,29.30,1512000,0
20010129,29.30,29.85,29.16,29.56,1419700,0
20010130,29.19,30.12,29.02,29.84,885400,0
20010131,29.76,29.76,29.13,29.25,2622000,0
20010201,29.27,29.85,29.25,29.85,1690300,0
20010202,30.08,30.17,29.41,29.76,1646700,0
20010205,29.99,30.08,29.23,30.08,973700,0
20010206,30.08,30.08,28.52,29.13,1147500,0
20010207,29.13,30.02,29.13,29.92,900300,0
20010208,29.50,29.71,28.78,28.96,935100,0
20010209,29.41,29.50,28.52,28.92,1716300,0
20010212,28.69,29.63,28.07,29.51,1648300,0
20010213,29.41,29.94,28.69,28.80,1686700,0
20010214,29.23,29.41,28.78,28.96,1120100,0
20010215,28.61,28.83,27.89,28.07,3317600,0
20010216,28.25,29.11,28.25,28.65,2405700,0
20010219,28.65,28.65,28.65,28.65,0,0
20010220,28.74,28.78,27.80,27.98,1336800,0
20010221,27.63,28.34,27.27,27.58,1683500,0
20010222,26.91,27.34,26.33,26.88,3114500,0
20010223,26.89,27.35,26.36,27.04,1334800,0
20010226,27.71,27.97,27.17,27.64,2185400,0
20010227,27.87,28.20,27.09,27.56,1664400,0
20010228,27.79,27.85,27.14,27.49,920300,0
20010301,27.45,27.70,27.18,27.63,1008300,0
20010302,27.58,28.61,27.22,28.37,1194400,0
20010305,28.37,28.69,27.80,28.47,1063800,0
20010306,28.47,28.56,27.90,28.17,1213300,0
20010307,28.34,28.56,28.07,28.39,918300,0
20010308,28.47,28.83,28.34,28.67,608200,0
20010309,28.67,28.92,28.16,28.90,1432600,0
20010312,29.32,29.32,27.35,27.49,2214900,0
20010313,27.63,28.25,27.27,28.23,1159500,0
20010314,25.17,26.29,25.08,25.62,5852300,0
20010315,25.98,26.02,25.59,25.84,2614200,0
20010316,25.71,25.84,25.30,25.31,2482400,0
20010319,25.26,25.27,24.60,24.76,1579300,0
20010320,24.95,25.04,24.08,24.24,2387300,0
20010321,24.19,24.91,24.11,24.67,1764700,0
20010322,24.51,24.51,22.72,23.21,3429400,0
20010323,23.53,24.51,23.44,24.51,2293500,0
20010326,24.73,24.95,24.06,24.68,2326300,0
20010327,24.46,25.00,24.28,24.83,1053300,0
20010328,24.95,25.40,24.73,25.00,1462400,0
20010329,24.95,26.29,24.82,25.33,1539700,0
20010330,25.75,26.81,25.58,26.78,1702500,0
20010402,26.65,27.20,26.32,27.00,2257200,0
20010403,27.05,27.05,25.62,26.17,1780800,0
20010404,25.95,26.36,25.71,25.99,1305100,0
20010405,26.07,26.73,25.93,26.73,1954800,0
20010406,26.51,26.66,25.75,26.44,2226300,0
20010409,26.44,26.71,26.07,26.69,828500,0
20010410,26.73,26.74,26.29,26.69,2326100,0
20010411,26.60,26.60,25.55,25.93,2002900,0
20010412,26.16,26.64,25.89,26.60,3211400,0
20010416,26.60,26.96,26.48,26.96,1133200,0
20010417,26.82,27.52,26.62,26.86,885200,0
20010418,27.36,27.58,26.60,26.73,1173400,0
20010419,26.56,26.91,26.41,26.41,1462800,0
20010420,26.41,26.73,25.62,25.89,1909900,0
20010423,26.11,26.29,25.34,25.76,1196300,0
20010424,25.76,25.98,25.13,25.40,1004200,0
20010425,25.40,25.62,25.17,25.49,1973400,0
20010426,25.80,26.29,25.59,25.75,1962300,0
20010427,25.75,26.05,25.62,25.91,713900,0
20010430,25.93,26.38,25.35,25.84,952800,0
20010501,25.75,26.29,25.44,26.29,862700,0
20010502,26.29,26.47,25.29,25.88,1379400,0
20010503,25.61,25.84,25.30,25.80,979600,0
20010504,25.44,26.38,25.40,26.38,1365100,0
20010507,26.33,26.44,25.82,26.05,1533100,0
20010508,26.06,26.56,25.40,25.49,2670400,0
20010509,25.49,25.80,25.35,25.75,1725900,0
20010510,25.89,25.93,25.40,25.70,1806600,0
20010511,25.84,26.02,25.57,25.81,1051300,0
20010514,25.93,26.20,25.58,26.20,963100,0
20010515,26.42,26.91,26.21,26.78,1405700,0
20010516,27.40,27.73,27.35,27.54,2151000,0
20010517,27.60,28.17,27.18,27.85,3594300,0
20010518,27.89,27.89,27.49,27.86,1200400,0
20010521,27.80,27.86,27.27,27.63,1829200,0
20010522,27.54,27.54,26.96,27.10,2751500,0
20010523,27.40,27.49,26.96,27.49,1179800,0
20010524,27.54,28.01,27.31,27.80,1298300,0
20010525,27.80,28.43,27.71,27.97,1318600,0
20010528,27.97,27.97,27.97,27.97,0,0
20010529,28.07,28.43,27.48,28.04,3679100,0
20010530,28.16,28.44,27.88,28.01,849200,0
20010531,28.07,28.64,28.07,28.38,2010400,0
20010601,28.03,28.40,27.88,28.36,763000,0
20010604,28.35,28.59,28.25,28.55,991200,0
20010605,28.69,28.98,28.43,28.86,1391500,0
20010606,28.86,28.86,28.34,28.49,1085900,0
20010607,28.52,28.74,28.11,28.11,1325400,0
20010608,28.07,28.11,27.85,28.05,465600,0
20010611,28.07,28.20,27.76,27.77,919000,0
20010612,28.02,28.02,27.18,27.43,2334700,0
20010613,27.40,27.55,27.11,27.39,1188100,0
20010614,27.36,27.40,26.66,26.69,1089300,0
20010615,26.47,26.80,26.40,26.65,2774700,0
20010618,26.73,27.14,26.49,26.82,1156900,0
20010619,26.96,27.31,26.85,27.05,812600,0
20010620,27.00,27.70,26.96,27.63,1153800,0
20010621,27.61,27.85,27.36,27.80,979500,0
20010622,27.71,27.76,27.09,27.22,936300,0
20010625,27.49,27.73,26.89,27.17,725500,0
20010626,27.09,27.68,26.65,27.32,1785900,0
20010627,27.27,27.53,27.07,27.31,1856500,0
20010628,27.54,27.58,27.00,27.14,1378400,0
20010629,27.09,27.61,26.65,27.61,1850100,0
20010702,27.40,28.34,27.22,28.12,1065100,0
20010703,28.03,28.19,27.83,28.16,382100,0
20010704,28.16,28.16,28.16,28.16,0,0
20010705,27.89,28.52,27.89,28.41,1485500,0
20010706,28.41,28.41,27.62,27.62,920900,0
20010709,27.85,28.08,27.62,27.82,703300,0
20010710,27.82,27.89,27.54,27.64,2995500,0
20010711,27.49,27.62,27.05,27.09,1082100,0
20010712,27.18,27.83,26.91,27.76,736700,0
20010713,27.63,28.16,27.63,27.85,436700,0
20010716,27.85,28.12,27.66,28.12,5957500,0
20010717,27.98,28.20,27.79,27.89,1069800,0
20010718,27.85,27.98,27.45,27.58,1101500,0
20010719,27.89,28.07,27.18,27.40,1142500,0
20010720,27.27,27.49,26.72,26.78,1702100,0
20010723,26.78,26.83,26.45,26.47,1196200,0
20010724,26.24,26.60,25.22,25.84,2961700,0
20010725,25.98,26.20,25.71,26.07,1889800,0
20010726,25.71,26.02,25.40,25.67,1190300,0
20010727,25.67,25.93,25.58,25.78,1098000,0
20010730,25.71,25.82,25.42,25.71,1011600,0
20010731,25.80,26.65,25.78,26.42,1226700,0
20010801,26.63,26.78,26.24,26.32,900500,0
20010802,26.38,26.51,26.20,26.24,820700,0
20010803,26.20,26.42,25.77,26.05,1128000,0
20010806,26.27,26.60,25.88,26.13,1199100,0
20010807,26.38,26.54,25.67,25.89,1622100,0
20010808,25.47,25.80,25.31,25.41,3616300,0
20010809,25.58,25.58,25.22,25.50,1506500,0
20010810,25.62,25.67,25.31,25.49,962600,0
20010813,25.53,26.15,25.51,25.90,19208200,0
20010814,25.84,26.38,25.84,26.24,21414800,0
20010815,26.29,26.50,26.00,26.07,26256900,0
20010816,26.29,26.40,26.11,26.21,29008200,0
20010817,26.20,26.47,25.53,25.94,9899900,0
20010820,26.02,26.33,25.95,26.16,544100,0
20010821,26.33,26.78,25.93,26.17,1817700,0
20010822,26.42,26.56,26.02,26.20,34875800,0
20010823,26.24,26.96,26.18,26.82,1602100,0
20010824,26.78,27.30,26.65,27.09,16048900,0
20010827,27.00,27.08,26.51,26.78,826700,0
20010828,26.79,27.09,26.69,26.89,2080900,0
20010829,26.91,27.18,26.88,26.99,1530800,0
20010830,26.91,27.42,26.91,27.34,62930500,0
20010831,27.40,27.58,27.14,27.18,2386800,0
20010903,27.18,27.18,27.18,27.18,0,0
20010904,26.82,27.27,26.73,26.78,3978100,0
20010905,26.91,26.91,26.30,26.47,1201300,0
20010906,26.44,26.56,25.96,25.96,14610900,0
20010907,25.75,25.75,25.09,25.22,10123700,0
20010910,25.22,25.83,25.22,25.67,1230300,0
20010911,25.67,25.67,25.67,25.67,0,0
20010917,23.57,24.42,22.55,23.98,4426500,0
20010918,24.02,24.37,23.57,23.88,2340400,0
20010919,23.88,24.11,23.66,23.78,3340200,0
20010920,23.62,23.79,23.48,23.55,3666700,0
20010921,22.41,22.72,22.10,22.46,4245900,0
20010924,23.08,23.58,22.95,23.55,1603600,0
20010925,23.62,24.60,23.17,24.06,4102400,0
20010926,24.06,24.28,23.95,24.06,2856000,0
20010927,24.10,25.02,24.06,25.02,35800000,0
20010928,25.17,26.63,25.14,26.47,3801000,0
20011001,26.29,26.29,25.17,25.84,1666200,0
20011002,25.67,25.84,25.02,25.84,1261700,0
20011003,25.17,25.84,25.17,25.67,1815100,0
20011004,25.58,25.75,25.34,25.56,2023800,0
20011005,25.53,25.67,24.86,25.64,2116500,0
20011008,24.66,25.28,24.02,24.12,1287400,0
20011009,24.12,24.33,23.91,24.05,2035200,0
20011010,23.97,24.19,23.79,24.04,1603700,0
20011011,24.06,24.51,23.97,24.34,1714600,0
20011012,24.27,24.33,23.75,23.93,1325500,0
20011015,23.93,24.15,23.84,23.89,1189800,0
20011016,23.97,24.19,23.30,23.51,2155900,0
20011017,23.70,23.70,23.44,23.53,3372000,0
20011018,23.62,23.72,22.81,22.99,1249500,0
20011019,22.95,22.98,22.01,22.86,2173000,0
