DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,5.69,6.00,5.63,5.81,5748,0
20010103,5.75,6.56,5.63,6.19,6212,0
20010104,6.31,7.31,6.31,7.06,7289,0
20010105,7.06,7.69,7.06,7.50,37224,0
20010108,7.56,8.25,7.56,8.00,2355,0
20010109,8.00,8.19,7.94,8.06,0,0
20010110,8.00,8.19,6.13,7.06,60541,0
20010111,7.00,7.75,6.25,7.75,11454,0
20010112,7.88,7.88,7.00,7.44,4528,0
20010115,7.44,7.44,7.44,7.44,0,0
20010116,7.44,7.44,6.75,6.75,4114,0
20010117,7.00,7.25,6.75,6.81,4641,0
20010118,7.06,7.13,6.44,6.88,2706,0
20010119,7.00,7.00,6.63,6.88,0,0
20010122,6.88,6.88,6.88,6.88,0,0
20010123,7.06,7.31,7.06,7.25,2456,0
20010124,7.38,7.38,7.13,7.19,0,0
20010125,6.75,7.25,6.75,7.19,0,0
20010126,7.13,7.19,6.88,7.19,0,0
20010129,7.50,9.66,7.50,9.66,464800,0
20010130,9.50,9.50,7.84,8.41,0,0
20010131,7.50,8.20,7.40,8.20,424700,0
20010201,8.10,8.35,8.00,8.10,0,0
20010202,7.90,8.10,7.70,7.75,18361500,0
20010205,7.75,7.98,7.70,7.90,213800,0
20010206,8.00,8.49,8.00,8.49,497900,0
20010207,8.45,8.72,8.30,8.40,417900,0
20010208,8.40,8.74,8.40,8.62,0,0
20010209,8.69,9.00,8.65,8.88,38000000,0
20010212,8.99,9.31,8.99,9.20,0,0
20010213,9.21,9.32,9.20,9.27,209100,0
20010214,9.30,9.45,9.30,9.44,0,0
20010215,9.54,9.60,9.42,9.60,843700,0
20010216,9.60,9.70,9.10,9.40,340500,0
20010219,9.40,9.40,9.40,9.40,0,0
20010220,9.30,9.44,8.30,8.37,2292500,0
20010221,8.20,8.30,7.40,7.73,794400,0
20010222,7.65,8.15,7.45,7.95,732900,0
20010223,7.92,7.97,7.79,7.90,276100,0
20010226,7.85,7.86,7.55,7.65,474200,0
20010227,7.75,8.15,7.75,8.05,209800,0
20010228,8.20,8.25,7.85,7.85,336000,0
20010301,7.85,8.35,7.85,7.95,472700,0
20010302,7.90,8.30,7.90,8.05,888300,0
20010305,8.03,8.60,8.00,8.28,466600,0
20010306,8.32,8.58,8.32,8.50,22165800,0
20010307,8.50,9.44,8.50,9.25,363500,0
20010308,9.20,9.71,9.20,9.65,2241200,0
20010309,9.52,9.57,9.12,9.28,434700,0
20010312,9.20,9.45,8.53,9.05,614500,0
20010313,9.15,9.15,8.25,8.91,117800,0
20010314,8.91,8.91,8.10,8.39,180400,0
20010315,8.85,8.99,8.75,8.98,209200,0
20010316,9.05,9.05,8.50,8.52,139600,0
20010319,8.53,8.53,8.20,8.42,198900,0
20010320,8.53,8.62,8.34,8.45,119400,0
20010321,9.05,9.05,7.88,7.98,189600,0
20010322,7.15,7.60,7.10,7.30,391300,0
20010323,7.45,7.71,7.15,7.25,214400,0
20010326,7.51,8.20,7.51,8.09,109300,0
20010327,8.18,8.60,8.06,8.37,139200,0
20010328,8.20,8.90,8.08,8.58,182100,0
20010329,8.58,8.85,8.57,8.68,126000,0
