DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20080317,51.20,52.65,49.24,49.39,1988000,0
20080318,49.85,52.00,47.75,49.60,8067600,0
20080319,49.60,51.00,46.90,50.10,3007700,0
20080320,50.20,50.20,48.87,49.15,1715600,0
20080324,49.81,51.00,49.81,51.00,1437000,0
20080325,51.40,51.75,50.60,51.75,1100800,0
20080326,51.70,52.47,50.30,50.30,2023200,0
20080327,50.95,52.03,50.00,50.68,8653300,0
20080328,50.95,52.50,50.56,51.06,9961200,0
20080331,52.40,54.70,50.00,50.58,19414196,0
20080401,51.10,52.19,49.01,50.58,23322856,0
20080402,51.16,52.07,50.15,51.21,12944607,0
20080403,51.00,51.50,50.40,51.05,12439051,0
20080404,51.48,51.48,50.80,51.37,6651233,0
20080407,51.60,51.60,50.50,50.67,7099377,0
20080408,50.41,51.01,50.21,50.60,8283325,0
20080409,50.50,50.59,49.15,49.38,8916681,0
20080410,49.49,49.91,48.50,48.66,14322965,0
20080411,48.49,48.89,48.08,48.33,11406060,0
20080414,48.30,48.35,47.43,48.00,11532761,0
20080415,47.78,48.35,47.78,48.20,9603320,0
20080416,48.41,49.61,48.35,49.46,14837608,0
20080417,49.72,50.00,49.42,49.85,6660660,0
20080418,50.49,50.94,49.38,49.96,9630848,0
20080421,50.20,50.89,49.13,50.63,6529945,0
20080422,50.60,50.90,49.92,50.07,5505572,0
20080423,51.00,52.34,50.90,52.00,13533256,0
20080424,52.00,52.43,51.50,52.00,5847689,0
20080425,52.14,52.18,50.75,51.30,11399641,0
20080428,50.94,51.30,50.75,51.07,8382470,0
20080429,51.44,52.20,50.26,52.01,12326452,0
20080430,51.70,52.01,50.91,51.03,8736402,0
20080501,50.83,51.17,50.62,50.75,7122614,0
20080502,50.90,51.10,50.40,51.02,9291703,0
20080505,50.87,51.63,50.63,50.81,8398645,0
20080506,50.90,51.95,50.85,51.88,7588691,0
20080507,51.97,52.20,51.31,51.69,6391320,0
20080508,51.65,52.21,51.50,52.20,6669613,0
20080509,51.90,52.46,51.53,51.83,5491720,0
20080512,51.98,52.54,51.30,52.47,5851389,0
20080513,52.42,52.84,52.04,52.46,5986527,0
20080514,52.51,52.85,52.40,52.67,5381474,0
20080515,52.51,53.31,52.10,53.25,8376438,0
20080516,53.23,53.50,52.35,53.38,7172820,0
20080519,53.49,53.95,52.93,53.63,6580465,0
20080520,53.30,53.94,52.82,52.91,6887370,0
20080521,53.04,53.18,51.83,51.98,6785687,0
20080522,51.82,52.77,51.78,52.28,5135183,0
20080523,52.10,52.98,51.75,51.80,5197303,0
20080527,51.92,51.94,51.12,51.63,6505401,0
20080528,51.70,51.90,50.83,51.16,13524236,0
20080529,50.96,52.16,50.93,52.02,7386930,0
20080530,52.07,52.99,51.81,52.66,7047703,0
20080602,52.15,52.70,51.92,52.11,8668152,0
20080603,52.10,52.62,51.67,51.67,6552599,0
20080604,51.69,52.27,51.50,51.95,6407338,0
20080605,52.03,52.24,51.54,51.81,6407389,0
20080606,51.50,51.51,50.40,50.50,10199957,0
20080609,50.80,50.95,49.18,49.49,9937200,0
