DATE, OPEN, HIGH, LOW, CLOSE, VOL, p
20010102,16.63,16.81,16.19,16.19,0,0
20010103,16.06,17.50,16.06,17.44,2770,0
20010104,17.44,17.81,16.56,17.38,6266,0
20010105,17.25,17.81,17.13,17.19,0,0
20010108,17.13,17.94,17.13,17.88,3534,0
20010109,17.94,18.56,17.94,18.06,0,0
20010110,17.81,18.88,16.38,18.75,5233,0
20010111,18.63,19.06,18.00,18.63,3178,0
20010112,18.63,18.63,18.06,18.19,0,0
20010115,18.19,18.19,18.19,18.19,0,0
20010116,18.19,19.44,17.81,19.31,9299,0
20010117,19.06,19.19,18.63,19.19,53063,0
20010118,18.88,19.00,18.00,18.56,29117,0
20010119,18.31,18.69,18.31,18.56,0,0
20010122,18.56,18.56,18.56,18.56,0,0
20010123,19.00,19.88,18.88,19.69,5099,0
20010124,19.50,19.69,19.00,19.31,0,0
20010125,19.38,19.50,18.75,19.31,0,0
20010126,19.50,20.00,19.38,19.56,0,0
20010129,21.75,21.75,21.19,21.19,0,0
20010130,21.66,22.09,20.00,20.63,0,0
20010131,20.09,20.72,19.82,19.94,0,0
20010201,20.00,20.39,19.81,20.27,0,0
20010202,20.10,20.40,19.83,19.95,0,0
20010205,19.85,19.92,19.55,19.65,2304300,0
20010206,19.70,20.09,19.05,19.25,724700,0
20010207,19.50,20.16,19.25,19.53,263700,0
20010208,20.00,20.00,19.33,19.46,0,0
20010209,19.23,20.02,18.98,19.03,0,0
20010212,19.20,19.98,19.20,19.54,470300,0
20010213,19.34,20.03,19.26,19.72,220400,0
20010214,19.65,19.76,19.25,19.37,0,0
20010215,19.47,19.77,19.39,19.59,145600,0
20010216,19.09,19.74,19.00,19.12,329900,0
20010219,19.12,19.12,19.12,19.12,0,0
20010220,19.32,19.40,19.09,19.13,1163200,0
20010221,19.62,19.90,19.41,19.54,315300,0
20010222,19.77,19.79,19.15,19.47,10151100,0
20010223,19.30,19.88,19.16,19.79,303300,0
20010226,20.03,20.55,19.90,20.44,487400,0
20010227,20.03,20.75,20.03,20.57,183300,0
20010228,20.67,20.69,20.41,20.51,11387700,0
20010301,20.57,20.70,20.36,20.59,166400,0
20010302,20.51,20.74,20.50,20.68,265700,0
20010305,20.44,20.88,20.44,20.78,203500,0
20010306,20.78,21.04,20.59,21.03,4156600,0
20010307,21.14,21.69,21.01,21.50,444000,0
20010308,21.50,21.99,21.14,21.96,707100,0
20010309,21.91,22.11,21.01,21.99,2358700,0
20010312,21.65,21.95,21.35,21.51,395800,0
20010313,21.31,21.45,20.27,20.62,278000,0
20010314,20.50,20.50,20.01,20.31,340900,0
20010315,20.45,21.28,20.45,20.66,2380500,0
20010316,20.10,20.56,19.91,19.92,558000,0
20010319,20.17,20.60,20.02,20.56,2225600,0
20010320,20.73,20.74,19.49,19.56,10499000,0
20010321,19.32,19.60,19.13,19.44,1150400,0
20010322,19.30,19.50,18.25,18.66,935400,0
20010323,18.66,19.39,18.60,18.90,15074900,0
20010326,18.90,19.30,18.90,19.14,201400,0
20010327,19.44,19.60,19.01,19.25,441800,0
20010328,19.03,19.18,18.73,18.85,223200,0
20010329,18.90,18.90,18.45,18.60,1423200,0
20010330,17.50,18.20,17.40,17.99,13560600,0
20010402,17.95,18.50,17.93,18.03,2317700,0
20010403,18.05,18.05,17.31,17.56,1357300,0
20010404,17.64,18.20,17.40,17.74,236900,0
20010405,17.90,18.40,17.77,18.10,531800,0
20010406,18.10,18.40,17.35,17.62,218800,0
20010409,17.87,18.85,17.80,18.21,261900,0
20010410,17.98,18.42,17.90,18.03,333600,0
20010411,18.73,18.73,17.92,18.00,7254500,0
20010412,17.75,18.05,17.58,17.85,6249800,0
20010416,18.04,18.36,17.71,17.87,290500,0
20010417,17.95,18.00,17.75,17.90,398500,0
20010418,18.13,18.85,18.02,18.60,1643900,0
20010419,19.25,19.98,19.18,19.38,566200,0
20010420,19.39,19.52,19.00,19.16,349700,0
20010423,18.52,19.46,18.51,19.31,378600,0
20010424,18.90,19.75,18.85,19.70,6254700,0
20010425,19.47,19.90,19.39,19.79,179400,0
20010426,19.70,19.99,19.50,19.56,549800,0
20010427,19.81,19.97,19.53,19.89,2139300,0
20010430,20.05,20.20,19.89,19.89,1074900,0
20010501,19.67,20.23,19.65,19.96,4236900,0
20010502,20.00,20.38,19.95,20.30,2189400,0
20010503,20.12,20.35,19.77,20.26,3177300,0
20010504,19.95,20.54,19.82,20.54,169500,0
20010507,20.40,20.98,20.40,20.58,183400,0
20010508,20.74,21.00,20.25,20.93,254600,0
20010509,20.94,21.15,20.72,20.97,338600,0
20010510,21.22,21.46,21.01,21.34,287000,0
20010511,21.68,21.93,21.32,21.87,2362700,0
20010514,21.85,21.85,21.40,21.62,91800,0
20010515,21.63,21.90,21.50,21.85,180300,0
20010516,21.60,22.45,21.54,22.37,271600,0
20010517,22.48,22.51,22.15,22.42,1146100,0
20010518,22.42,22.64,22.17,22.64,186900,0
20010521,22.69,23.19,22.49,23.19,3237400,0
20010522,23.04,23.05,22.71,22.89,3215700,0
20010523,22.50,22.55,21.65,22.40,411200,0
20010524,22.50,22.50,21.78,22.28,3177700,0
20010525,22.22,22.34,22.02,22.28,80500,0
20010528,22.28,22.28,22.28,22.28,0,0
20010529,21.46,21.97,21.46,21.74,307200,0
20010530,21.98,21.98,21.60,21.60,257400,0
20010531,21.70,21.98,21.70,21.94,192400,0
20010601,21.94,22.00,21.62,21.93,1121500,0
20010604,21.90,22.08,21.71,22.00,1134500,0
20010605,21.90,22.09,21.82,22.08,3310700,0
20010606,22.05,22.11,21.78,21.82,312200,0
20010607,21.77,21.89,21.49,21.52,218800,0
20010608,21.45,21.48,21.39,21.42,26400,0
20010611,21.40,21.40,20.80,20.86,1278400,0
20010612,20.97,21.00,20.31,20.67,2334900,0
20010613,20.75,20.76,20.20,20.26,3301800,0
20010614,20.50,20.50,19.50,19.63,2556400,0
20010615,19.38,19.75,19.27,19.58,242000,0
20010618,19.65,19.87,19.48,19.51,1197200,0
20010619,19.27,19.60,18.80,18.98,1223800,0
20010620,19.16,19.40,19.00,19.21,3146200,0
20010621,19.39,19.39,19.05,19.11,1157300,0
20010622,18.91,19.08,18.64,18.91,20236400,0
20010625,18.92,19.20,18.92,19.02,239300,0
20010626,18.92,19.19,18.80,19.10,18255400,0
20010627,19.07,19.59,19.07,19.54,1613100,0
20010628,19.45,19.71,19.31,19.55,4232100,0
20010629,19.50,19.80,19.30,19.60,12266300,0
20010702,19.35,19.49,19.15,19.33,2326300,0
20010703,19.23,19.35,18.99,19.32,302000,0
20010704,19.32,19.32,19.32,19.32,0,0
20010705,19.08,19.38,19.08,19.21,1350400,0
20010706,19.28,19.28,19.00,19.02,118900,0
20010709,18.96,19.20,18.81,18.84,274100,0
20010710,18.75,18.90,18.42,18.56,216400,0
20010711,18.75,18.75,18.35,18.49,206100,0
20010712,18.40,18.80,18.40,18.72,1263200,0
20010713,18.78,18.82,18.45,18.69,7124000,0
20010716,18.87,18.97,18.78,18.92,425000,0
20010717,18.95,19.05,18.55,19.01,2612700,0
20010718,19.00,19.42,18.84,19.23,407600,0
20010719,19.48,19.80,19.44,19.60,15264000,0
20010720,19.60,19.74,19.43,19.43,5203300,0
20010723,19.50,19.67,19.36,19.40,1244900,0
20010724,19.55,19.68,19.35,19.50,351600,0
20010725,19.99,19.99,19.40,19.44,20465800,0
20010726,19.35,19.48,19.03,19.46,311200,0
20010727,19.40,19.43,18.65,18.96,4336100,0
20010730,19.10,19.29,18.89,19.22,9259500,0
20010731,19.25,19.35,19.00,19.00,475900,0
20010801,19.05,19.09,18.71,18.88,243400,0
20010802,19.12,19.47,18.95,19.37,200100,0
20010803,19.40,19.59,19.18,19.44,163300,0
20010806,19.49,19.57,19.40,19.47,7397100,0
20010807,19.49,19.49,19.00,19.10,392700,0
20010808,19.15,19.42,19.07,19.16,2222400,0
20010809,19.24,19.37,18.85,18.87,4233400,0
20010810,19.00,19.38,19.00,19.30,132600,0
20010813,19.07,19.49,19.04,19.45,323100,0
20010814,19.28,19.60,19.28,19.56,22680600,0
20010815,19.59,19.90,19.51,19.90,11352300,0
20010816,21.50,21.50,20.66,21.11,12912300,0
20010817,21.10,21.39,21.01,21.21,10673900,0
20010820,21.25,21.25,20.85,20.99,3286500,0
20010821,21.22,21.22,20.85,20.90,386100,0
20010822,21.00,21.23,20.91,21.05,214900,0
20010823,21.06,21.50,21.05,21.39,548700,0
20010824,21.27,22.24,21.27,22.06,5349600,0
20010827,21.80,22.45,21.75,22.04,5447500,0
20010828,21.90,22.16,21.85,22.09,199600,0
20010829,21.95,22.24,21.81,22.22,5451900,0
20010830,22.20,22.35,22.00,22.28,3236400,0
20010831,22.26,22.70,22.25,22.59,757900,0
20010903,22.59,22.59,22.59,22.59,0,0
20010904,22.50,22.59,22.36,22.41,12219300,0
20010905,22.28,22.90,22.28,22.70,532900,0
20010906,22.95,23.10,22.81,23.00,778000,0
20010907,22.95,23.00,22.00,22.16,3527200,0
20010910,22.11,22.11,20.83,20.97,5530400,0
20010911,20.97,20.97,20.97,20.97,0,0
20010917,21.00,21.00,19.50,19.58,521200,0
20010918,20.30,20.30,19.75,19.85,1248600,0
20010919,20.14,20.14,19.30,19.68,4377600,0
20010920,19.80,19.80,18.35,18.45,498500,0
20010921,17.45,17.95,17.02,17.70,865100,0
20010924,18.25,18.66,18.15,18.44,744300,0
20010925,18.63,18.66,18.25,18.51,371300,0
20010926,18.64,18.64,17.70,18.15,552000,0
20010927,18.25,19.24,17.90,19.08,461200,0
20010928,19.14,19.99,19.14,19.99,406400,0
20011001,19.74,19.79,19.06,19.74,4291000,0
20011002,19.60,19.88,18.75,19.59,387700,0
20011003,19.85,19.85,19.00,19.63,481300,0
20011004,19.64,20.25,19.29,20.03,2258100,0
20011005,19.84,20.29,19.31,20.28,260700,0
20011008,20.10,20.10,19.29,19.54,182700,0
20011009,19.65,19.75,19.35,19.42,2169200,0
20011010,19.35,20.20,19.30,20.20,256400,0
20011011,20.38,20.70,20.05,20.44,5230400,0
20011012,20.15,20.27,19.85,20.01,233700,0
20011015,20.10,20.35,19.81,20.26,171700,0
20011016,20.50,20.50,20.13,20.45,213100,0
20011017,20.49,20.49,19.74,19.75,172600,0
20011018,19.87,19.87,19.30,19.52,217800,0
20011019,20.20,20.20,19.66,19.90,5222900,0
20011022,19.67,20.20,19.45,19.49,237800,0
20011023,19.60,20.48,19.60,19.78,489200,0
20011024,19.80,20.00,19.30,19.40,481500,0
20011025,19.20,19.90,19.06,19.74,479500,0
20011026,19.70,19.90,19.60,19.70,132800,0
20011029,19.85,19.87,19.21,19.25,233300,0
20011030,19.01,19.18,18.70,18.94,253400,0
20011031,18.98,19.16,18.82,18.91,347300,0
20011101,18.79,19.45,18.70,19.25,414100,0
20011102,19.05,19.42,19.02,19.19,4137000,0
20011105,19.25,19.57,19.20,19.43,1211800,0
20011106,19.20,19.44,18.89,19.31,278800,0
20011107,19.31,19.75,19.25,19.54,191600,0
20011108,19.40,19.60,19.40,19.50,281000,0
20011109,19.40,19.45,19.02,19.03,151700,0
20011112,19.05,19.05,18.67,18.78,272900,0
20011113,18.78,19.47,18.72,19.35,6279700,0
20011114,19.31,19.68,19.30,19.62,221700,0
20011115,19.82,19.98,19.77,19.88,226200,0
20011116,19.98,20.40,19.78,20.29,741800,0
20011119,20.53,20.65,20.30,20.52,311400,0
20011120,20.40,20.49,20.04,20.25,180200,0
20011121,20.38,20.60,20.06,20.17,227200,0
20011122,20.17,20.17,20.17,20.17,0,0
20011123,20.07,20.60,20.07,20.42,61600,0
20011126,20.22,20.50,19.86,20.02,215500,0
20011127,20.00,20.25,19.84,20.00,195200,0
20011128,19.90,20.16,19.81,19.93,155500,0
20011129,19.95,20.15,19.86,20.08,137200,0
20011130,20.25,20.55,20.07,20.50,214200,0
20011203,20.50,21.09,20.35,21.05,2357500,0
20011204,21.05,21.28,21.00,21.09,386300,0
20011205,21.08,21.46,21.04,21.36,440100,0
20011206,21.35,21.74,21.16,21.62,260800,0
20011207,21.57,21.59,21.15,21.32,275500,0
20011210,21.28,21.30,21.01,21.05,105300,0
20011211,21.00,21.25,20.93,20.93,2125800,0
20011212,20.95,21.12,20.66,20.66,144200,0
20011213,20.70,20.70,19.60,19.88,2306900,0
20011214,20.00,20.44,19.85,20.43,376800,0
20011217,20.45,21.56,20.40,21.51,634600,0
20011218,21.51,22.35,21.45,21.94,416000,0
20011219,21.82,22.02,21.62,21.91,404000,0
20011220,21.90,22.30,21.80,21.88,264700,0
20011221,22.00,22.32,21.82,22.27,419300,0
20011224,22.10,22.35,22.10,22.30,101700,0
20011226,22.25,22.50,22.23,22.36,244400,0
20011227,22.40,22.57,22.26,22.32,159200,0
20011228,22.13,22.28,21.92,22.05,425200,0
20011231,22.27,22.28,22.02,22.15,1258900,0
20020102,22.05,22.24,21.77,22.19,425600,0
20020103,22.00,22.25,21.82,22.12,601400,0
20020104,22.22,22.79,22.15,22.75,212700,0
20020107,22.77,23.28,22.55,23.04,440500,0
20020108,23.10,23.40,22.95,23.30,495100,0
20020109,23.44,24.05,23.33,23.52,694500,0
20020110,23.48,23.65,23.46,23.48,535000,0
20020111,23.49,23.67,23.35,23.52,284800,0
20020114,23.74,23.75,23.08,23.51,656300,0
20020115,23.41,23.75,23.35,23.60,424300,0
20020116,23.40,23.43,23.02,23.12,268700,0
20020117,23.12,23.52,22.88,23.52,274600,0
20020118,23.39,23.40,23.07,23.16,248200,0
20020121,23.16,23.16,23.16,23.16,0,0
20020122,23.18,23.59,23.12,23.15,226900,0
20020123,23.00,23.81,22.76,23.78,484200,0
20020124,23.78,24.19,23.75,24.09,389500,0
20020125,24.09,24.09,23.72,23.91,277900,0
20020128,23.76,24.39,23.76,24.31,6453000,0
20020129,24.48,24.48,23.85,24.03,235900,0
20020130,23.90,24.49,23.61,24.43,354500,0
20020131,24.75,25.00,24.72,24.98,778000,0
20020201,25.40,26.21,25.25,26.00,25788500,0
20020204,26.00,26.19,25.35,25.39,1250300,0
20020205,25.38,25.60,24.82,24.83,572200,0
20020206,25.00,25.20,24.34,24.74,917700,0
20020207,24.60,25.39,24.48,25.39,696000,0
20020208,25.72,26.33,25.50,26.18,782100,0
20020211,26.18,26.87,25.98,26.51,569900,0
20020212,26.51,26.51,25.92,26.02,574900,0
20020213,26.22,26.66,26.07,26.40,473300,0
20020214,26.40,26.96,26.20,26.89,404600,0
20020215,26.90,27.08,26.58,26.95,600500,0
20020218,26.95,26.95,26.95,26.95,0,0
20020219,26.95,26.96,26.25,26.90,742600,0
20020220,26.69,26.80,26.47,26.70,453200,0
20020221,26.69,26.69,26.23,26.45,430200,0
20020222,26.50,26.70,26.26,26.69,541100,0
20020225,26.73,27.05,26.52,27.05,6447700,0
20020226,26.90,27.64,26.90,27.45,724900,0
20020227,27.25,27.99,27.20,27.99,2272800,0
20020228,27.95,30.00,27.70,28.10,514400,0
20020301,27.90,28.64,27.81,28.64,560800,0
20020304,28.84,29.95,28.64,29.79,5358800,0
20020305,29.64,29.71,28.88,28.95,928900,0
20020306,28.98,29.20,28.13,28.76,816100,0
20020307,28.85,28.98,28.44,28.56,405300,0
